country name,flag colors,star on flag,coat of arms on flag,borders the following countries,official languages,island,landlocked,equator,gdp over 1 trillion,population over 100 million,hosted world cup,hosted olympics,EU member,former communist,commonwealth,brics+ (member or partner),monarchy,multiple timezones,capital most populated,majority religion,drives on left side,Region (UN nations geoscheme)
Azerbaijan,Blue Red White Green,Y,N,Türkiye/Armenia/Russia/Georgia/Iran,Azerbaijani,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Western Asia
Bahamas,Blue Yellow Black,N,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Caribbean
Bahrain,Red White,N,N,None,Arabic,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Islam,N,Western Asia
Bangladesh,Red Green,Y,N,India/Myanmar,Bengali,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,Islam,Y,Southern Asia
Barbados,Blue Yellow Black,N,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Caribbean
Belarus,Red White Green,N,N,Russia/Ukraine/Poland/Lithuania/Latvia,Belarusian Russian,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,Y,Christianity,N,Eastern Europe
Belgium,Yellow Red Black,N,N,France/Netherlands/Germany/Luxembourg,Dutch French German,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,Non-Religious,N,Western Europe
Belize,Blue Red White Green Brown Yellow,N,Y,Mexico/Guatemala,English,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,Christianity,N,Central America
Benin,Yellow Red Green,N,N,Togo/Burkina Faso/Niger/Nigeria,French,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Christianity,N,Western Africa
Bhutan,Yellow Orange White,N,N,India/China,Dzongkha,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,Buddhism,Y,Southern Asia
Bolivia,Red Yellow Green,N,N,Brazil/Paraguay/Argentina/Peru/Chile,Spanish Quechua Aymara Guarani,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Christianity,N,South America
Bosnia and Herzegovina,Blue Yellow White,Y,N,Croatia/Serbia/Montenegro,Bosniak Croatian Serbian,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Y,Islam,N,Southern Europe
Botswana,Blue White Black,N,N,Namibia/South Africa/Zimbabwe/Zambia,English,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Southern Africa
Brazil,Green Yellow White Blue,Y,N,Argentina/Uruguay/Paraguay/Bolivia/Peru/Colombia/Venezuela/Guyana/Suriname/France,Portuguese,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Christianity,N,South America
Brunei,Yellow Red White Black,N,Y,Malaysia,Malay,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Islam,Y,Southeastern Asia
Bulgaria,White Green Red,N,N,Greece/North Macedonia/Serbia/Romania/Türkiye,Bulgarian,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Burkina Faso,Red Green Yellow,Y,N,Mali/Niger/Benin/Togo/Ghana/Côte d'Ivoire,Bissa Dyula Fulani Mooré,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Africa
Burundi,Red White Green,Y,N,Rwanda/Tanzania/Democratic Republic of the Congo,French English Swahili Kirundi,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Christianity,N,Eastern Africa
Cabo Verde,Blue Red White Yellow,Y,N,None,Portuguese,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Western Africa
Cambodia,Red White Blue Black,N,N,Vietnam/Laos/Thailand,Khmer,N,N,N,N,N,N,N,N,Y,N,N,Y,N,Y,Buddhism,N,Southeastern Asia
Cameroon,Red Green Yellow,Y,N,Nigeria/Chad/Central African Republic/Republic of the Congo/Gabon/Equatorial Guinea,French English,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Christianity,N,Middle Africa
Canada,White Red,N,N,United States of America/Denmark,English French,N,N,N,Y,N,N,Y,N,N,Y,N,Y,Y,N,Christianity,N,Northern America
Central African Republic,Blue White Green Yellow Red,Y,N,Cameroon/Chad/Sudan/South Sudan/Democratic Republic of the Congo/Republic of the Congo,French Sango,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Middle Africa
Chad,Yellow Blue Red,N,N,Libya/Sudan/Central African Republic/Cameroon/Nigeria/Niger,French Arabic,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Middle Africa
Chile,Red White Blue,Y,N,Argentina/Bolivia/Peru,Spanish,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,Christianity,N,South America
China,Red Yellow,Y,N,North Korea/Russia/Mongolia/Kazakhstan/Kyrgyzstan/Tajikistan/Afghanistan/Pakistan/India/Nepal/Bhutan/Myanmar/Laos/Vietnam,Mandarin,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,N,Non-Religious,N,Eastern Asia
Colombia,Red Yellow Blue,N,N,Panama/Venezuela/Ecuador/Peru/Brazil,Spanish,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,South America
Comoros,Yellow White Red Blue Green,Y,N,None,French Comorian Arabic,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Eastern Africa
Costa Rica,Red White Blue,N,N,Nicaragua/Panama,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Central America
Côte d'Ivoire,Green White Orange,N,N,Liberia/Guinea/Mali/Burkina Faso/Ghana,French,N,N,N,N,N,N,N,N,N,N,N,N,N,N,No Majority,N,West Africa
Croatia,Red White Blue Yellow Black,Y,Y,Slovenia/Hungary/Serbia/Bosnia and Herzegovina/Montenegro,Croatian,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Southern Europe
Cuba,Red White Blue,Y,N,None,Spanish,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,Y,Christianity,N,Caribbean
Cyprus,White Green Orange,N,N,United Kingdom,Greek Turkish,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,Christianity,Y,Western Asia
Czechia,Red White Blue,N,N,Germany/Poland/Slovakia/Austria,Czech,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Non-Religious,N,Eastern Europe
Democratic Republic of the Congo,Red Blue Yellow,Y,N,Angola/Republic of the Congo/Central African Republic/South Sudan/Uganda/Rwanda/Burundi/Tanzania/Zambia,French Swahili,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,Y,Christianity,N,Middle Africa
Denmark,Red White,N,N,Germany/Canada,Danish,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Y,Christianity,N,Northern Europe
Djibouti,Blue White Green Red,Y,N,Eritrea/Ethiopia/Somalia,French Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Eastern Africa
Dominica,Green White Black Yellow Purple Brown,Y,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Caribbean
Dominican Republic,Red White Blue Green Yellow Black,N,Y,Haiti,Spanish,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Caribbean
Ecuador,Yellow Red Blue Green White Brown Gray,Y,Y,Colombia/Peru,Spanish,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Christianity,N,South America
Egypt,Black Red Yellow White,N,Y,Libya/Sudan/Israel/Palestine,Arabic,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Islam,N,Northern Africa
El Salvador,Blue White Red Orange Yellow Green Purple Black ,Y,Y,Honduras/Guatemala,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Central America
Equatorial Guinea,Blue Green White Red Brown Gray Black,Y,Y,Gabon/Cameroon,Spanish French Portuguese,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Christianity,N,Middle Africa
Eritrea,Red Green Yellow Blue,N,N,Sudan/Ethiopia/Djibouti,Arabic English Tigrinya,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Eastern Africa
Estonia,Blue Black White,N,N,Latvia/Russia,Estonian,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Non-Religious,N,Eastern Europe
Eswatini,Blue Yellow Red White Black,N,N,South Africa/Mozambique,English,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Southern Africa
Ethiopia,Blue Yellow Green Red,Y,N,Somalia/Djibouti/Eritrea/Sudan/South Sudan/Kenya,Afar Amharic Omoro Somali Tigrinya English,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,Y,Christianity,N,Eastern Africa
Fiji,Blue Red White Yellow Black Brown Green,N,Y,None,English,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Melanesia
Finland,White Blue,N,N,Norway/Russia/Sweden,Finnish Swedish,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Christianity,N,Northern Europe
France,Blue Red White,N,N,Brazil/Suriname/Belgium/Netherlands/Germany/Luxembourg/Switzerland/Italy/Monaco/Andorra/Spain,French,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,Y,No Majority,N,Western Europe
Gabon,Green Yellow Blue,N,N,Equatorial Guinea/Cameroon/Republic of Congo,French,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,N,Middle Africa
Gambia,Red White Blue Green,N,N,Senegal,English,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Christianity,N,West Africa
Georgia,Red White,N,N,Russia/Armenia/Azerbaijan/Türkiye,Georgian Abkhaz,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,Christianity,N,Western Asia
Germany,Black Red Yellow,N,N,Denmark/Netherlands/Belgium/Luxembourg/France/Switzerland/Austria/Czechia/Poland,German,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,No Majority,N,Western Europe
Ghana,Red Yellow Green Black,Y,N,Côte d'Ivoire/Burkina Faso/Togo,English,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,N,Western Africa
Greece,Blue White,N,N,Albania/North Macedonia/Bulgaria/Türkiye,Greek,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Christianity,N,Southern Europe
Grenada,Red Green Yellow,Y,N,None,English,Y,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Christianity,Y,Caribbean
Guatemala,Blue White Green Yellow Gray Red Brown,N,Y,Mexico/Belize/Honduras/El Salvador,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Central America
Guinea,Red Green Yellow,N,N,Senegal/Mali/Liberia/Sierra Leone/Guinea-Bissau/Côte d'Ivoire,French,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,West Africa
Guinea-Bissau,Red Yellow Green Black,Y,N,Senegal/Guinea,Portuguese,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,West Africa
Guyana,Red Black Yellow White Green,N,N,Venezuela/Brazil/Suriname,English,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,South America
Haiti,Blue Red White Yellow Black Green,N,Y,Dominican Republic,French HaitianCreole,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Caribbean
Honduras,Blue White,Y,N,Guatemala/El Salvador/Nicaragua,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Central America
Hungary,Red White Green,N,N,Austria/Slovakia/Ukraine/Romania/Serbia/Croatia/Slovenia,Hungarian,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Iceland,Red White Blue,N,N,None,Icelandic,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Northern Europe
India,Orange White Green Blue,N,N,Pakistan/China/Nepal/Bhutan/Myanmar/Bangladesh,Hindi English,N,N,N,Y,Y,N,N,N,N,Y,Y,N,N,N,Hinduism,Y,Southern Asia
Indonesia,Red White,N,N,Malaysia/Timor Leste/Papua New Guinea,Indonesian,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,Islam,Y,Southeastern Asia
Iran,Red White Green,N,N,Azerbaijan/Armenia/Iraq/Pakistan/Afghanistan/Turkmenistan/Türkiye,Persian,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Islam,N,Southern Asia
Iraq,Red White Black Green,N,N,Kuwait/Saudi Arabia/Jordan/Syria/Türkiye/Iran,Arabic Kurdish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Asia
Ireland,Green White Orange,N,N,United Kingdom,English Irish,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Christianity,Y,Northern Europe
Israel,White Blue,Y,N,Palestine/Egypt/Jordan/Syria/Lebanon,Hebrew,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Judaism,N,Western Asia
Italy,Green White Red,N,N,France/Switzerland/Austria/Slovenia/San Marino/Vatican City,Italian,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Christianity,N,Southern Europe
Jamaica,Black Yellow Green,N,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Caribbean
Japan,White Red,Y,N,None,Japanese,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,No Majority,Y,Eastern Asia
Jordan,Black White Green Red,Y,N,Israel/Palestine/Syria/Iraq/Saudi Arabia,Arabic,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Islam,N,Western Asia
Kazakhstan,Blue Yellow,Y,N,Russia/China/Kyrgyzstan/Uzbekistan/Turkmenistan,Kazakh Russian,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,Islam,N,Central Asia
Kenya,Black Red Green White,N,N,Somalia/Ethiopia/South Sudan/Uganda/Tanzania,Swahili English,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Eastern Africa
Kiribati,Red Yellow White Blue,Y,N,None,English,Y,N,Y,N,N,N,N,N,N,Y,N,N,Y,Y,Christianity,Y,Micronesia
Kuwait,Black Green White Red,N,N,Iraq/Saudi Arabia,Arabic,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Islam,N,Western Asia
Kyrgyzstan,Red Yellow,Y,N,Kazakhstan/Uzbekistan/Tajikistan/China,Kyrgyz Russian,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Islam,N,Central Asia
Laos,Red White Blue,N,N,Vietnam/China/Myanmar/Thailand/Cambodia,Lao,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Buddhism,N,Southeastern Asia
Latvia,Red White,N,N,Estonia/Russia/Belarus/Lithuania,Latvian,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Northern Europe
Lebanon,Red White Green,N,N,Syria/Israel,Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Europe
Lesotho,Blue White Green Black,N,N,South Africa,English Sesotho,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Southern Africa
Liberia,Red White Blue,Y,N,Sierra Leone/Guinea/Côte d'Ivoire,English,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Western Africa
Libya,Red Black White Green,Y,N,Tunisia/Algeria/Niger/Chad/Sudan/Egypt,Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Northern Africa
Liechtenstein,Red Blue Yellow Black,N,N,Switzerland/Austria,German,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,Christianity,N,Western Europe
Lithuania,Yellow Green Red,N,N,Russia/Poland/Belarus/Latvia,Lithuanian,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Northern Europe
Luxembourg,Red White Blue,N,N,Belgium/Germany/France,Luxembourgish French German,N,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,Christianity,N,Western Europe
Madagascar,White Red Green,N,N,None,Malagasy French Gujarati Kutchi,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Eastern Africa
Malawi,Red Black Green,Y,N,Tanzania/Zambia/Mozambique,English,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Eastern Africa
Malaysia,Red White Blue Yellow,Y,N,Thailand/Brunei/Indonesia,Malay,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,Islam,Y,Southeastern Asia
Maldives,Red Green White,N,N,None,Dhivehi English,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Islam,Y,Southern Asia
Mali,Green Yellow Red,N,N,Mauritania/Algeria/Niger/Burkina Faso/Côte d'Ivoire/Guinea/Senegal,Bambara Bobo Bozo Dogon Fulani Arabic Kassonke Maninke Minyanka Senufo Songhay Soninke Tamasheq,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Africa
Malta,Red White Black,N,N,None,Maltese English,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,Christianity,Y,Southern Europe
Marshall Islands,Blue Orange White,Y,N,None,Marshallese English,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Micronesia
Mauritania,Red Green Yellow,Y,N,Algeria/Mali/Senegal,Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Africa
Mauritius,Red Blue Yellow Green,N,N,None,English French,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,No Majority,Y,Eastern Africa
Mexico,Red Green White Brown Pink Yellow Black Blue Orange,N,N,United States of America/Guatemala/Belize,Spanish,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Christianity,N,Central America
Micronesia,Blue White,Y,N,None,English,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Christianity,N,Micronesia
Moldova,Blue Yellow Red Green Brown,Y,Y,Romania/Ukraine,Romanian,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Monaco,Red White,N,N,France,French,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Christianity,N,Western Europe
Mongolia,Red Blue Yellow,Y,N,China/Russia,Mongolian,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Y,Buddhism,N,Eastern Asia
Montenegro,Red Yellow Blue Green,N,Y,Croatia/Bosnia and Herzegovina/Serbia/Albania,Montenegrin,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Southern Europe
Morocco,Red Green,Y,N,Algeria/Spain,Arabic Berber,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Islam,N,Northern Africa
Mozambique,Green White Black Yellow Red,Y,N,South Africa/Eswatini/Zimbabwe/Zambia/Malawi/Tanzania,Portuguese,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,Christianity,Y,Eastern Africa
Myanmar,Yellow Green Red White,Y,N,Bangladesh/India/China/Laos/Thailand,Burmese,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Buddhism,N,Southeastern Asia
Namibia,Yellow Blue White Red Green,Y,N,Angola/Zambia/Botswana/South Africa,English,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Southern Africa
Nauru,Blue Yellow White,Y,N,None,English Nauruan,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Christianity,Y,Micronesia
Nepal,Red White Blue,Y,N,India/China,Nepali,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Hinduism,Y,Southern Asia
Netherlands,Red White Blue,N,N,France/Belgium/Germany,Dutch,N,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,Y,Non-Religious,N,Western Europe
New Zealand,Red White Blue,Y,N,None,English Maori,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,Non-Religious,Y,Australia and New Zealand
Nicaragua,Blue White Red Yellow Green Orange Purple,N,Y,Honduras/Costa Rica,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Central America
Niger,Orange White Green,Y,N,Mali/Algeria/Libya/Chad/Nigeria/Benin/Burkina Faso,Hausa,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Africa
Nigeria,Green White,N,N,Benin/Niger/Chad/Cameroon,English,N,N,N,N,Y,N,N,N,N,Y,Y,N,N,N,No Majority,N,Western Africa
North Macedonia,Red Yellow,Y,N,Albania/Serbia/Bulgaria/Greece,Macedonian/Albanian,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Southern Europe
North Korea,Red White Blue,Y,N,China/Russia/South Korea,Korean,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Non-Religious,N,Eastern Asia
Norway,Red White Blue,N,N,Russia/Finland/Sweden,Norwegian Sámi,N,N,N,N,N,N,Y,N,N,N,N,Y,N,Y,Christianity,N,Northern Europe
Oman,Red White Green,N,N,Yemen/Saudi Arabia/United Arab Emirates,Arabic,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Islam,N,Western Asia
Pakistan,Green White,Y,N,Iran/Afghanistan/China/India,Urdu English,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Islam,Y,Southern Asia
Palau,Blue Yellow,N,N,None,English Palauan,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Christianity,N,Micronesia
Palestine,Black White Green Red,N,N,Israel/Egypt/Jordan,Arabic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Islam,N,Western Asia
Panama,Red White Blue,Y,N,Costa Rica/Colombia,Spanish,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Central America
Papua New Guinea,Black White Red Yellow,Y,N,Indonesia,HiriMotu TokPisin English,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,Christianity,Y,Melanesia
Paraguay,Red White Blue Black Yellow Green,Y,Y,Argentina/Bolivia/Brazil,Spanish,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,South America
Peru,Red White,N,N,Ecuador/Colombia/Brazil/Bolivia/Chile,Spanish Quechua Aymara,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,South America
Philippines,Red White Blue Yellow,Y,N,None,Filipino English,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Christianity,N,Southeastern Asia
Poland,Red White,N,N,Germany/Czechia/Slovakia/Ukraine/Belarus/Lithuania/Russia,Polish,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Portugal,Red Green Yellow Blue White Black,N,Y,Spain,Portuguese,N,N,N,N,N,N,N,Y,N,N,N,N,Y,Y,Christianity,N,Southern Europe
Qatar,Red White,N,N,Saudi Arabia,Arabic English,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Islam,N,Western Asia
Republic of the Congo,Red Yellow Green,N,N,Gabon/Cameroon/Central African Republic/Democratic Republic of the Congo/Angola,French,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Middle Africa
Romania,Blue Yellow Red,N,N,Bulgaria/Serbia/Hungary/Ukraine/Moldova,Romanian,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Christianity,N,Eastern Europe
Russia,Red White Blue,N,N,Azerbaijan/Georgia/Ukraine/Belarus/Poland/Lithuania/Latvia/Estonia/Finland/Norway/Kazakhstan/China/Mongolia/North Korea,Russian,N,N,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Christianity,N,Eastern Europe
Rwanda,Blue Yellow Green,Y,N,Democratic Republic of the Congo/Uganda/Tanzania/Burundi,English French Swahili Kinyarwanda,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,N,Eastern Africa
Saint Kitts and Nevis,Green Yellow Black Red White,Y,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Caribbean
Saint Lucia,Blue White Black Yellow,N,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Caribbean
Saint Vincent and the Grenadines,Blue Yellow Green,N,N,None,English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Caribbean
Samoa,Red White Blue,Y,N,None,Samoan English,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Christianity,Y,Polynesia
San Marino,White Blue Green Yellow White Black Brown,N,Y,Italy,Italian,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Christianity,N,Southern Europe
São Tomé and Príncipe,Red Green Yellow Black,Y,N,None,Portuguese,Y,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Christianity,N,Middle Africa
Saudi Arabia,Green White,N,N,Jordan/Iraq/Kuwait/Qatar/United Arab Emirates/Oman/Yemen,Arabic,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,Islam,N,Western Asia
Senegal,Yellow Red Green,Y,N,Gambia/Mauritania/Mali/Guinea/Guinea-Bissau,French,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Islam,N,Western Africa
Serbia,Red White Blue Yellow Black,N,Y,Bulgaria/Romania/Hungary/Croatia/Bosnia and Herzegovina/Montenegro/North Macedonia,Serbian,N,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,Christianity,N,Southern Europe
Seychelles,Blue Yellow Red White Green,N,N,None,French English Seychellois,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Christianity,Y,Eastern Africa
Sierra Leone,Green White Blue,N,N,Guinea/Liberia,English,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Islam,N,Western Africa
Singapore,Red White,Y,N,Malaysia,English Chinese Malay Tamil,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,No Majority,Y,Southeastern Asia
